2024-08-10 08:10:18.587 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@72ef8d15, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6aa8e115, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5e21e98f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@51a9ad5e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5f20155b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@72ade7e3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@239105a8, org.springframework.test.context.event.EventPublishingTestExecutionListener@3fce8fd9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@609bcfb6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7d94beb9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@560348e6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1df8b5b8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@23202fce]
2024-08-10 08:10:18.641 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.StudyDemoApplicationTests], using SpringBootContextLoader
2024-08-10 08:10:18.642 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.StudyDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.642 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.minalz.StudyDemoApplicationTests]: StudyDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-10 08:10:18.648 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.StudyDemoApplicationTests], using SpringBootContextLoader
2024-08-10 08:10:18.649 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.StudyDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.649 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.minalz.StudyDemoApplicationTests]: StudyDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-10 08:10:18.654 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.StudyDemoApplicationTests], using SpringBootContextLoader
2024-08-10 08:10:18.655 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.StudyDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.655 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.minalz.StudyDemoApplicationTests]: StudyDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
